time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque
381,225,92,122,2474.84,7.323,10,23
382,235,93,122,2482.03,7.305,10,24
383,232,93,123,2487.21,7.306,10,24
384,230,91,123,2495.15,7.289,10,24
385,229,92,123,2499.76,7.29,10,24
386,229,92,124,2508.19,7.29,10,24
387,229,92,124,2517.07,7.289,10,24
388,228,93,124,2524.68,7.307,10,23
389,228,91,124,2531.66,7.325,10,24
390,228,92,124,2539.31,7.289,10,24
391,227,92,124,2544.16,7.309,10,24
392,228,92,124,2554.75,7.323,10,24
393,229,91,124,2560.02,7.317,10,24
394,229,91,125,2567.14,7.292,10,24
395,225,92,125,2575.02,7.238,10,23
396,225,91,125,2581.7,7.263,10,24
397,225,92,125,2586.8,7.271,10,23
398,229,92,126,2596.8,7.327,10,24
399,230,92,127,2604.1,7.293,10,24
400,228,91,127,2607.48,7.263,10,24
401,225,92,127,2617.83,7.238,10,23
402,225,91,128,2624.35,7.261,10,24
403,227,91,128,2630.59,7.239,10,24
404,227,91,128,2632.94,7.238,10,24
405,225,91,128,2643.11,7.213,10,24
406,227,91,128,2652.23,7.222,10,24
407,228,92,128,2657.83,7.213,10,24
408,228,91,129,2665.18,7.225,10,24
409,228,91,129,2672.51,7.238,10,24
410,228,91,130,2681.51,7.238,10,24
411,228,91,130,2687.05,7.238,10,24
412,228,91,131,2694.8,7.238,10,24
413,227,91,131,2702.29,7.238,10,24
414,226,92,132,2706.51,7.238,10,23
415,226,91,133,2716.37,7.263,10,24
416,229,91,133,2722.95,7.251,10,24
417,226,91,134,2729.62,7.217,10,24
418,225,91,134,2735.57,7.217,10,24
419,229,90,134,2743.93,7.238,10,24
420,228,90,134,2751.36,7.213,10,24
421,227,92,135,2757.38,7.247,10,24
422,228,91,135,2766.18,7.296,10,24
423,231,91,135,2771.31,7.289,10,24
424,226,91,136,2777.73,7.24,10,24
425,224,91,136,2781.97,7.238,10,24
426,224,91,136,2791.21,7.238,10,24
427,228,91,136,2796.46,7.262,10,24
428,228,92,136,2807.03,7.263,10,24
429,227,91,136,2814.67,7.228,10,24
430,226,92,136,2821.63,7.214,10,23
431,227,91,135,2827.43,7.238,10,24
432,230,91,135,2834.37,7.238,10,24
433,228,92,135,2843.93,7.274,10,24
434,229,92,135,2849.53,7.319,10,24
435,230,92,135,2855.7,7.324,10,24
436,228,92,135,2864.15,7.296,10,24
437,224,92,135,2868.49,7.289,10,23
438,225,92,136,2877.41,7.293,10,23
439,227,92,136,2883.43,7.311,10,24
440,229,92,137,2892.04,7.306,10,24
441,227,91,137,2899.46,7.273,10,24
442,225,92,137,2907.76,7.249,10,23
443,226,92,137,2912.72,7.239,10,23
444,227,92,138,2918.41,7.244,10,24
445,228,92,138,2924.84,7.257,10,24
446,228,91,138,2933.14,7.263,10,24
447,227,91,138,2939.87,7.263,10,24
448,226,93,138,2949.19,7.263,10,23
449,228,92,138,2956.25,7.288,10,24
450,229,91,138,2961.34,7.29,10,24
451,226,91,138,2970.98,7.263,10,24
452,224,91,138,2976.97,7.238,10,24
453,226,91,138,2981.91,7.238,10,24
454,229,91,138,2989.93,7.238,10,24
455,229,91,139,2998.31,7.238,10,24
456,228,91,139,3006.34,7.242,10,24
457,228,91,140,3011.07,7.263,10,24
458,228,92,140,3016.62,7.263,10,24
459,228,93,140,3025.3,7.294,10,23
460,230,92,140,3031.93,7.324,10,24
461,229,92,141,3039.39,7.318,10,24
462,225,91,141,3042.74,7.266,10,24
463,223,91,141,3054.45,7.238,10,23
464,227,91,141,3061.37,7.222,10,24
465,226,91,141,3066.68,7.231,10,24
466,228,91,141,3076.07,7.255,10,24
467,229,91,141,3081.25,7.244,10,24
468,227,90,140,3090.77,7.213,10,24
469,225,91,140,3096.98,7.189,10,24
470,225,92,140,3102.57,7.223,10,23
471,228,92,139,3111.6,7.263,10,24
472,230,92,139,3118.04,7.263,10,24
473,228,92,139,3124.87,7.284,10,24
474,228,91,139,3131.04,7.281,10,24
475,227,92,139,3136.97,7.263,10,24
476,224,92,140,3147.53,7.238,10,23
477,226,92,140,3154.13,7.282,10,23
478,230,92,140,3160.17,7.296,10,24
479,229,93,140,3166.79,7.325,10,24
480,227,92,140,3175.09,7.323,10,24
481,226,91,140,3182.01,7.273,10,24
482,225,91,140,3186.61,7.263,10,24
483,225,92,140,3196.64,7.238,10,23
484,226,92,140,3202.22,7.238,10,23
485,227,91,140,3208.56,7.238,10,24
486,228,92,140,3216.88,7.263,10,24
487,229,92,140,3223.18,7.263,10,24
488,229,92,140,3229.37,7.277,10,24
489,228,92,140,3237.93,7.263,10,24
490,227,91,140,3246.33,7.263,10,24
491,226,91,140,3250.91,7.242,10,24
492,227,91,140,3259.39,7.243,10,24
493,227,91,140,3266.75,7.238,10,24
494,227,90,140,3273.12,7.219,10,24
495,225,91,140,3279.98,7.186,10,24
496,225,92,140,3288.35,7.197,10,23
497,229,90,140,3294.37,7.238,10,24
498,230,93,139,3301.02,7.269,10,24
499,227,94,139,3309.4,7.395,10,23
500,216,93,139,3316.11,7.46,10,22
501,205,93,139,3322.13,7.435,10,21
502,190,93,138,3330.43,7.367,10,20
503,186,93,138,3336.79,7.351,10,19
504,189,92,138,3344.01,7.353,10,20
505,193,93,137,3350.48,7.365,10,20
506,197,94,137,3359.84,7.378,10,20
507,197,94,136,3365.54,7.377,10,20
508,196,92,136,3372.44,7.351,10,20
509,193,92,136,3379.45,7.324,10,20
510,194,92,136,3388.74,7.324,10,20
511,196,93,136,3391.79,7.347,10,20
512,198,93,137,3403.65,7.372,10,20
513,197,93,137,3410.25,7.351,10,20
514,195,92,137,3415.17,7.342,10,20
515,195,92,137,3423.87,7.325,10,20
516,195,93,138,3431.28,7.324,10,20
517,197,93,138,3437.13,7.342,10,20
518,198,92,138,3442.88,7.349,10,21
519,195,92,138,3448.85,7.338,10,20
520,193,92,138,3460.35,7.296,10,20
521,194,92,138,3464.79,7.29,10,20
522,196,93,137,3473.26,7.341,10,20
523,200,93,137,3479.66,7.38,10,21
524,200,92,136,3486.88,7.358,10,21
525,196,93,136,3494.35,7.322,10,20
526,192,92,136,3501.95,7.294,10,20
527,194,90,136,3509.86,7.267,10,21
528,195,91,136,3515.58,7.253,10,20
529,195,91,136,3520.9,7.242,10,20
530,196,91,136,3529.91,7.238,10,21
531,198,92,136,3534.25,7.249,10,21
532,197,92,136,3543.16,7.263,10,20
533,197,91,136,3551.43,7.263,10,21
534,197,92,136,3557.42,7.263,10,20
535,195,91,136,3565.8,7.263,10,20
536,198,92,135,3572.27,7.294,10,21
537,199,93,135,3578.97,7.329,10,20
538,200,91,135,3586.75,7.372,10,21
539,197,93,135,3593.32,7.351,10,20
540,193,93,135,3599.44,7.351,10,20
541,195,93,135,3608.38,7.353,10,20
542,197,92,135,3616.22,7.349,10,20
543,197,92,136,3619.62,7.353,10,20
544,196,92,136,3628.82,7.341,10,20
545,197,92,136,3634.71,7.349,10,20
546,195,93,136,3641.51,7.324,10,20
547,194,92,135,3651.12,7.327,10,20
548,195,93,135,3656.7,7.327,10,20
549,197,93,135,3662.86,7.345,10,20
550,199,93,135,3672.58,7.367,10,20
